Artist_20_artist_album_track,Steven Tyler AI: ,
aerosmith/Aerosmith/01-Make_It,https://www.youtube.com/watch?v=cOBSJKRrMYw,
aerosmith/Aerosmith/02-Somebody,https://www.youtube.com/watch?v=ZSQBxafzkX0,
aerosmith/Aerosmith/03-Dream_On,https://www.youtube.com/watch?v=HGV-H-mgK60,
aerosmith/Aerosmith/04-One_Way_Street,,
aerosmith/Aerosmith/05-Mama_Kin,,
aerosmith/Aerosmith/06-Write_Me_a_Letter,,
aerosmith/Aerosmith/07-Movin_Out,,
aerosmith/Aerosmith/08-Walking_the_Dog,,
aerosmith/Draw_the_Line/01-Draw_the_Line,,
aerosmith/Draw_the_Line/02-I_Wanna_Know_Why,,
aerosmith/Draw_the_Line/03-Critical_Mass,,
aerosmith/Draw_the_Line/04-Get_It_Up,,
aerosmith/Draw_the_Line/05-Bright_Light_Fright,,
aerosmith/Draw_the_Line/06-Kings_and_Queens,,
aerosmith/Draw_the_Line/07-The_Hand_That_Feeds,,
aerosmith/Draw_the_Line/08-Sight_for_Sore_Eyes,,
aerosmith/Draw_the_Line/09-Milk_Cow_Blues,,
aerosmith/Get_Your_Wings/01-Same_Old_Song_and_Dance,,
aerosmith/Get_Your_Wings/02-Lord_Of_The_Thighs,,
aerosmith/Get_Your_Wings/03-Spaced,,
aerosmith/Get_Your_Wings/04-Woman_Of_The_World,,
aerosmith/Get_Your_Wings/05-SOS,,
aerosmith/Get_Your_Wings/06-Train_Kept_A_Rollin_,,
aerosmith/Get_Your_Wings/07-Seasons_Of_Wither,,
aerosmith/Get_Your_Wings/08-Pandora_s_Box,,
aerosmith/Pump/01-Young_Lust,,
aerosmith/Pump/02-F_I_N_E_,,
aerosmith/Pump/03-Going_Down-Love_In_An_Elevator,,
aerosmith/Pump/04-Monkey_On_My_Back,,
aerosmith/Pump/05-Water_Song-Janie_s_Got_A_Gun,,
aerosmith/Pump/06-Dulcimer_Stomp-The_Other_Side,,
aerosmith/Pump/07-My_Girl,,
aerosmith/Pump/08-Don_t_Get_Mad_Get_Even,,
aerosmith/Pump/09-Hoodoo-Voodoo_Medicine_Man,,
aerosmith/Pump/10-What_It_Takes,,
aerosmith/Rocks/01-Back_In_The_Saddle_Again,,
aerosmith/Rocks/02-Last_Child,,
aerosmith/Rocks/03-Rats_In_The_Cellar,,
aerosmith/Rocks/04-Combination,,
aerosmith/Rocks/05-Sick_As_A_Dog,,
aerosmith/Rocks/06-Nobody_s_Fault,,
aerosmith/Rocks/07-Get_The_Lead_Out,,
aerosmith/Rocks/08-Lick_and_a_Promise,,
aerosmith/Rocks/09-Home_Tonight,,
